id,date,delta,avg
1,01/01/1850,-0.7,-0.376
2,02/01/1850,-0.286,-0.376
3,03/01/1850,-0.732,-0.376
4,04/01/1850,-0.563,-0.376
5,05/01/1850,-0.327,-0.376
6,06/01/1850,-0.213,-0.376
7,07/01/1850,-0.125,-0.376
8,08/01/1850,-0.237,-0.376
9,09/01/1850,-0.439,-0.376
10,10/01/1850,-0.451,-0.376
11,11/01/1850,-0.187,-0.376
12,12/01/1850,-0.257,-0.376
13,01/01/1851,-0.296,-0.222
14,02/01/1851,-0.356,-0.222
15,03/01/1851,-0.479,-0.222
16,04/01/1851,-0.441,-0.222
17,05/01/1851,-0.295,-0.222
18,06/01/1851,-0.197,-0.222
19,07/01/1851,-0.212,-0.222
20,08/01/1851,-0.157,-0.222
21,09/01/1851,-0.101,-0.222
22,10/01/1851,-0.057,-0.222
23,11/01/1851,-0.02,-0.222
24,12/01/1851,-0.051,-0.222
25,01/01/1852,-0.315,-0.232
26,02/01/1852,-0.477,-0.232
27,03/01/1852,-0.502,-0.232
28,04/01/1852,-0.557,-0.232
29,05/01/1852,-0.211,-0.232
30,06/01/1852,-0.04,-0.232
31,07/01/1852,-0.018,-0.232
32,08/01/1852,-0.202,-0.232
33,09/01/1852,-0.125,-0.232
34,10/01/1852,-0.216,-0.232
35,11/01/1852,-0.193,-0.232
36,12/01/1852,0.073,-0.232
37,01/01/1853,-0.182,-0.273
38,02/01/1853,-0.327,-0.273
39,03/01/1853,-0.309,-0.273
40,04/01/1853,-0.355,-0.273
41,05/01/1853,-0.268,-0.273
42,06/01/1853,-0.175,-0.273
43,07/01/1853,-0.059,-0.273
44,08/01/1853,-0.148,-0.273
45,09/01/1853,-0.404,-0.273
46,10/01/1853,-0.362,-0.273
47,11/01/1853,-0.255,-0.273
48,12/01/1853,-0.437,-0.273
49,01/01/1854,-0.365,-0.254
50,02/01/1854,-0.282,-0.254
51,03/01/1854,-0.286,-0.254
52,04/01/1854,-0.353,-0.254
53,05/01/1854,-0.233,-0.254
54,06/01/1854,-0.219,-0.254
55,07/01/1854,-0.227,-0.254
56,08/01/1854,-0.167,-0.254
57,09/01/1854,-0.119,-0.254
58,10/01/1854,-0.192,-0.254
59,11/01/1854,-0.367,-0.254
60,12/01/1854,-0.233,-0.254
61,01/01/1855,-0.169,-0.277
62,02/01/1855,-0.401,-0.277
63,03/01/1855,-0.306,-0.277
64,04/01/1855,-0.223,-0.277
65,05/01/1855,-0.338,-0.277
66,06/01/1855,-0.167,-0.277
67,07/01/1855,-0.271,-0.277
68,08/01/1855,-0.163,-0.277
69,09/01/1855,-0.336,-0.277
70,10/01/1855,-0.217,-0.277
71,11/01/1855,-0.214,-0.277
72,12/01/1855,-0.518,-0.277
73,01/01/1856,-0.122,-0.362
74,02/01/1856,-0.376,-0.362
75,03/01/1856,-0.528,-0.362
76,04/01/1856,-0.38,-0.362
77,05/01/1856,-0.129,-0.362
78,06/01/1856,-0.291,-0.362
79,07/01/1856,-0.304,-0.362
80,08/01/1856,-0.309,-0.362
81,09/01/1856,-0.461,-0.362
82,10/01/1856,-0.391,-0.362
83,11/01/1856,-0.608,-0.362
84,12/01/1856,-0.449,-0.362
85,01/01/1857,-0.513,-0.465
86,02/01/1857,-0.345,-0.465
87,03/01/1857,-0.434,-0.465
88,04/01/1857,-0.649,-0.465
89,05/01/1857,-0.57,-0.465
90,06/01/1857,-0.31,-0.465
91,07/01/1857,-0.541,-0.465
92,08/01/1857,-0.329,-0.465
93,09/01/1857,-0.393,-0.465
94,10/01/1857,-0.474,-0.465
95,11/01/1857,-0.668,-0.465
96,12/01/1857,-0.358,-0.465
97,01/01/1858,-0.528,-0.469
98,02/01/1858,-0.708,-0.469
99,03/01/1858,-0.548,-0.469
100,04/01/1858,-0.512,-0.469
101,05/01/1858,-0.653,-0.469
102,06/01/1858,-0.582,-0.469
103,07/01/1858,-0.329,-0.469
104,08/01/1858,-0.278,-0.469
105,09/01/1858,-0.332,-0.469
106,10/01/1858,-0.211,-0.469
107,11/01/1858,-0.643,-0.469
108,12/01/1858,-0.304,-0.469
109,01/01/1859,-0.308,-0.287
110,02/01/1859,-0.189,-0.287
111,03/01/1859,-0.327,-0.287
112,04/01/1859,-0.195,-0.287
113,05/01/1859,-0.307,-0.287
114,06/01/1859,-0.248,-0.287
115,07/01/1859,-0.274,-0.287
116,08/01/1859,-0.1,-0.287
117,09/01/1859,-0.565,-0.287
118,10/01/1859,-0.249,-0.287
119,11/01/1859,-0.315,-0.287
120,12/01/1859,-0.363,-0.287
121,01/01/1860,-0.181,-0.347
122,02/01/1860,-0.426,-0.347
